Tabela 1,,,,,,,,,,,,,
,,Integral,,,,Noturno,,,,Total,,,
Sexo,Inscritos,,Matriculados,,Inscritos,,Matriculados,,Inscritos,,Matriculados,,
,Número,%,Número,%,Número,%,Número,%,Número,%,Número,%,
Masculino,25789,"43,6",1198,"55,9",7070,"49,3",654,"59,2",32859,"44,7",1852,57,
Feminino,33359,"56,4",946,"44,1",7280,"50,7",450,"40,8",40639,"55,3",1396,43,
Em branco,0,0,0,0,0,0,0,0,0,0,0,0,
Total,59148,100,2144,100,14350,100,1104,100,73498,100,3248,100,
Tabela 2,,,,,,,,,,,,,
,,Integral,,,,Noturno,,,,Total,,,
Idade,Inscritos,,Matriculados,,Inscritos,,Matriculados,,Inscritos,,Matriculados,,
,Número,%,Número,%,Número,%,Número,%,Número,%,Número,%,
Menor de 16 anos,58,"0,1",0,0,34,"0,2",0,0,92,"0,1",0,0,
16 anos,1316,"2,2",1,"0,1",561,"3,9",0,0,1877,"2,6",1,0,
17 anos,10583,"17,9",254,"11,9",2901,"20,2",93,"8,4",13484,"18,4",347,"10,7",
18 anos,20154,"34,1",711,"33,2",4575,"31,9",316,"28,6",24729,"33,7",1027,"31,6",
19 anos,12447,21,578,27,2630,"18,3",227,"20,6",15077,"20,5",805,"24,8",
20 anos,6388,"10,8",251,"11,7",1329,"9,3",136,"12,3",7717,"10,5",387,"11,9",
21 a 23 anos,5644,"9,5",229,"10,7",1221,"8,5",146,"13,2",6865,"9,3",375,"11,6",
24 a 29 anos,1855,"3,1",87,"4,1",649,"4,5",111,"10,1",2504,"3,4",198,"6,1",
Mais de 29 anos,703,"1,2",33,"1,5",450,"3,1",75,"6,8",1153,"1,6",108,"3,3",
Em branco,0,0,0,0,0,0,0,0,0,0,0,0,
Total,59148,100,2144,100,14350,100,1104,100,73498,100,3248,100,
Tabela 3,,,,,,,,,,,,,
,,Integral,,,,Noturno,,,,Total,,,
Estado Civil,Inscritos,,Matriculados,,Inscritos,,Matriculados,,Inscritos,,Matriculados,,
,Número,%,Número,%,Número,%,Número,%,Número,%,Número,%,
Solteiros,58403,"98,7",2121,"98,9",13954,"97,2",1054,"95,5",72357,"98,5",3175,"97,8",
Casados,447,"0,8",19,"0,9",270,"1,9",37,"3,4",717,1,56,"1,7",
Viúvos,6,0,0,0,1,0,0,0,7,0,0,0,
Separação legal,43,"0,1",1,"0,1",29,"0,2",3,"0,3",72,"0,1",4,"0,1",
Outro,249,"0,4",3,"0,1",96,"0,7",10,"0,9",345,"0,5",13,"0,4",
Em branco,0,0,0,0,0,0,0,0,0,0,0,0,
Total,59148,100,2144,100,14350,100,1104,100,73498,100,3248,100,
Tabela 4,,,,,,,,,,,,,
Cor ou Raça,,Integral,,,,Noturno,,,,Total,,,
,Inscritos,,Matriculados,,Inscritos,,Matriculados,,Inscritos,,Matriculados,,
declarada,Número,%,Número,%,Número,%,Número,%,Número,%,Número,%,
Branca,42941,"72,6",1529,"71,3",9860,"68,7",740,67,52801,"71,8",2269,"69,9",
Preta,2232,"3,8",85,4,739,"5,2",52,"4,7",2971,4,137,"4,2",
Parda,9140,"15,5",347,"16,2",2659,"18,5",224,"20,3",11799,"16,1",571,"17,6",
Amarela,2955,5,110,"5,1",656,"4,6",36,"3,3",3611,"4,9",146,"4,5",
Indígena,117,"0,2",5,"0,2",36,"0,3",2,"0,2",153,"0,2",7,"0,2",
Não declarada,924,"1,6",33,"1,5",212,"1,5",22,2,1136,"1,6",55,"1,7",
Em branco,839,"1,4",35,"1,6",188,"1,3",28,"2,5",1027,"1,4",63,"1,9",
Total,59148,100,2144,100,14350,100,1104,100,73498,100,3248,100,
Tabela 5,,,,,,,,,,,,,
Local de,,Integral,,,,Noturno,,,,Total,,,
,Inscritos,,Matriculados,,Inscritos,,Matriculados,,Inscritos,,Matriculados,,
Residência,Número,%,Número,%,Número,%,Número,%,Número,%,Número,%,
Região Metropol. de SP,17436,"29,5",447,"20,9",2884,"20,1",165,15,20320,"27,7",612,"18,8",
Região Metropol. de Campinas,9843,"16,6",768,"35,8",4387,"30,6",475,43,14230,"19,4",1243,"38,3",
Metropol. Baixada Santista,1087,"1,8",32,"1,5",174,"1,2",8,"0,7",1261,"1,7",40,"1,2",
Outras Regiões de SP,29233,"49,4",885,"41,3",6826,"47,6",455,"41,2",36059,"49,1",1340,"41,3",
Outros Estados,1549,"2,6",12,"0,6",79,"0,6",1,"0,1",1628,"2,2",13,"0,4",
Em branco,0,0,0,0,0,0,0,0,0,0,0,0,
Total,59148,100,2144,100,14350,100,1104,100,73498,100,3248,100,
,,,,,,,,,,,,,
Tabela 6,,,,,,,,,,,,,
Tipo de Escola do Ensino,,,Integral,,,,,Noturno,,,,Total,
,,Inscritos,,Matriculados,,Inscritos,,Matriculados,,Inscritos,,Matriculados,
Fundamental 1,,Número,%,Número,%,Número,%,Número,%,Número,%,Número,%
,,17292,"29,2",684,"31,9",6164,43,546,"49,5",23456,"31,9",1230,"37,9"
